,main1,main2,main3,main4,main5,main6,bonus,times,date
566,10,17,18,29,30,41,7,第566回,2011年6月23日
567,7,13,17,23,28,34,25,第567回,2011年6月27日
568,7,10,15,31,32,42,41,第568回,2011年6月30日
569,4,19,21,25,28,40,38,第569回,2011年7月4日
570,2,4,10,28,38,43,25,第570回,2011年7月7日
571,6,20,21,23,33,38,10,第571回,2011年7月11日
572,10,12,18,38,42,43,40,第572回,2011年7月14日
573,3,5,21,30,37,38,11,第573回,2011年7月18日
574,4,11,16,20,26,43,9,第574回,2011年7月21日
575,4,11,17,21,23,30,18,第575回,2011年7月25日
576,8,9,21,24,29,37,1,第576回,2011年7月28日
577,3,12,29,31,36,37,26,第577回,2011年8月1日
578,16,22,23,27,33,37,36,第578回,2011年8月4日
579,6,8,17,19,23,42,32,第579回,2011年8月8日
580,12,15,17,25,35,43,32,第580回,2011年8月11日
581,5,22,28,29,35,39,21,第581回,2011年8月15日
582,7,10,14,25,32,38,13,第582回,2011年8月18日
583,2,12,17,18,40,43,16,第583回,2011年8月22日
584,10,11,24,26,37,38,21,第584回,2011年8月25日
585,1,28,32,34,41,42,22,第585回,2011年8月29日
586,6,7,10,23,36,42,11,第586回,2011年9月1日
587,10,12,18,27,33,40,42,第587回,2011年9月5日
588,8,13,18,33,34,36,23,第588回,2011年9月8日
589,1,9,10,28,41,42,33,第589回,2011年9月12日
590,20,24,25,27,32,37,2,第590回,2011年9月15日
591,1,13,16,22,27,33,5,第591回,2011年9月19日
592,12,14,22,23,34,41,36,第592回,2011年9月22日
593,2,10,16,26,29,30,4,第593回,2011年9月26日
594,4,5,15,30,34,38,2,第594回,2011年9月29日
595,1,5,15,22,39,40,27,第595回,2011年10月3日
596,2,13,17,24,29,34,12,第596回,2011年10月6日
597,3,4,7,13,16,23,1,第597回,2011年10月10日
598,6,10,15,21,36,41,40,第598回,2011年10月13日
599,1,2,8,13,27,39,36,第599回,2011年10月17日
600,3,20,23,24,28,35,26,第600回,2011年10月20日
601,6,22,25,26,30,39,32,第601回,2011年10月24日
602,8,13,15,18,24,41,27,第602回,2011年10月27日
603,3,8,18,21,23,42,17,第603回,2011年10月31日
604,9,15,20,22,28,43,37,第604回,2011年11月3日
605,1,4,13,25,38,43,11,第605回,2011年11月7日
606,8,15,24,26,35,42,7,第606回,2011年11月10日
607,2,3,8,12,20,21,16,第607回,2011年11月14日
608,4,6,16,17,18,26,40,第608回,2011年11月17日
609,18,24,36,37,39,41,1,第609回,2011年11月21日
610,2,5,12,23,26,41,36,第610回,2011年11月24日
611,10,12,14,24,34,39,16,第611回,2011年11月28日
612,7,18,31,32,39,40,35,第612回,2011年12月1日
613,2,6,18,26,32,37,5,第613回,2011年12月5日
614,2,6,22,25,31,42,1,第614回,2011年12月8日
615,6,16,24,32,36,43,28,第615回,2011年12月12日
616,4,7,18,19,24,35,17,第616回,2011年12月15日
617,5,8,18,28,34,35,10,第617回,2011年12月19日
618,4,15,21,31,35,42,13,第618回,2011年12月22日
619,2,11,29,31,33,38,14,第619回,2011年12月26日
620,7,10,13,19,31,38,12,第620回,2011年12月29日
621,6,15,16,28,36,40,20,第621回,2012年1月5日
622,7,16,18,20,27,36,41,第622回,2012年1月9日
623,7,8,16,35,39,42,9,第623回,2012年1月12日
624,4,8,12,22,25,30,43,第624回,2012年1月16日
625,5,17,26,37,39,42,20,第625回,2012年1月19日
626,6,13,14,22,26,28,10,第626回,2012年1月23日
627,2,4,7,19,34,42,30,第627回,2012年1月26日
628,7,13,15,18,29,38,30,第628回,2012年1月30日
629,6,16,21,30,34,43,36,第629回,2012年2月2日
630,3,7,13,18,19,41,38,第630回,2012年2月6日
631,2,5,7,10,36,40,12,第631回,2012年2月9日
632,3,4,14,21,22,25,26,第632回,2012年2月13日
633,7,9,11,14,15,18,5,第633回,2012年2月16日
634,8,10,13,15,20,40,23,第634回,2012年2月20日
635,8,11,12,15,41,43,22,第635回,2012年2月23日
636,2,12,21,23,24,26,36,第636回,2012年2月27日
637,7,12,16,28,31,34,11,第637回,2012年3月1日
638,6,11,19,28,35,40,14,第638回,2012年3月5日
639,1,16,20,24,33,34,8,第639回,2012年3月8日
640,3,11,18,20,33,39,22,第640回,2012年3月12日
641,3,14,21,24,26,29,32,第641回,2012年3月15日
642,8,13,14,21,33,41,18,第642回,2012年3月19日
643,2,6,21,31,35,37,15,第643回,2012年3月22日
644,4,14,22,23,26,42,2,第644回,2012年3月26日
645,3,10,12,32,33,43,31,第645回,2012年3月29日
646,9,12,14,24,28,33,37,第646回,2012年4月2日
647,2,7,15,22,36,43,27,第647回,2012年4月5日
648,22,26,27,28,36,43,1,第648回,2012年4月9日
649,14,22,29,33,36,40,38,第649回,2012年4月12日
650,12,31,34,40,41,43,6,第650回,2012年4月16日
651,4,15,17,34,38,40,5,第651回,2012年4月19日
652,1,10,16,19,20,39,29,第652回,2012年4月23日
653,13,21,22,26,29,36,31,第653回,2012年4月26日
654,12,18,21,29,32,38,2,第654回,2012年4月30日
655,5,10,23,26,28,29,27,第655回,2012年5月3日
656,2,8,13,17,25,37,30,第656回,2012年5月7日
